NU_ANO_CENSO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,TP_SITUACAO_FUNCIONAMENTO,Latitude,Longitude
2023,Ceará,CE,23,Aracati,2301109,EEF SAO FRANCISCO,23124377,3,2,0,SITIO SAO FRANCISCO,SN,ZONA RURAL,62800000,1,-43490739,-393229283
2023,Ceará,CE,23,Aracati,2301109,EEF PROFª FRANCISCA CLOTILDE,23124385,3,2,0,QUINDERE II,S/N,ZONA RURAL,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF MARGARIDA GONDIM,23124423,3,2,0,RUA NOSSA SENHORA DAS GRACAS,199,OUTEIRO,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF MANUEL DA ROCHA FREIRE,23124431,3,2,0,CORREGO DA NICA,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,CEI HELENITA GURGEL VALENTE,23124440,3,2,0,CAJUEIRO,S/N,,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF HERIBERTO PORTO,23124466,3,2,0,RUA FRANCISCO GERMANO,S/N,PRAIA DE QUIXABA,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF PROFª GERCINA NEPOMUCENO,23124474,3,1,0,RUA PROJETADA,S/N,NOSSA SENHORA DE LOUDES,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF ANTONIO PONCIANO DA COSTA,23124539,3,1,0,VL CORREGO DOS RODRIGUES,S/N,CORREGO DOS RODRIGUES,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF JOAQUIM NOGUEIRA DA COSTA,23124547,3,2,0,SITIO BEIRADA,S/N,,62800000,2,-4524756,-377328735
2023,Ceará,CE,23,Aracati,2301109,EEF JOSE BERNARDO DE SOUSA,23124555,3,2,0,VILA CAJUEIRO,SN,CAJUEIRO,62800000,1,-45924806,-377398226
2023,Ceará,CE,23,Aracati,2301109,EEF JOSE BEZERRA FILHO,23124563,3,2,0,MORRINHOS,S/N,ZONA RURAL,62800000,1,-46351665,-3774421
2023,Ceará,CE,23,Aracati,2301109,EEF JOSE NONATO,23124580,3,2,0,LAGOA DO TEODOSIO,S/N,ZONA RURAL,62800000,1,-46276494,-379726294
2023,Ceará,CE,23,Aracati,2301109,EEF PROFESSOR REGIS BERNARDO DE SOUZA,23124601,3,1,0,RUA DUQUE DE CAXIAS,S/N,VARZEA DA MATRIZ,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF DRAGAO DO MAR,23124610,3,2,0,LAGOA DO MATO,S/N,,62800000,2,-45908639,-376353078
2023,Ceará,CE,23,Aracati,2301109,CEI PROFª MARLENE SOARES NEPOMUCENO,23124660,3,1,0,RUA JOAO ADOLFO GURGEL DO AMARAL,S/N,CASTELO,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF MOISES MARQUES,23124687,3,2,0,VILA CAJAZEIRAS,S/N,ZONA RURAL,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF POMPEU COSTA LIMA FILHO,23124709,3,2,0,SITIO SAO JOSE,S/N,,62800000,1,-45896313,-377786105
2023,Ceará,CE,23,Aracati,2301109,EEF RAIMUNDO MARCELO SOBRINHO,23124733,3,2,0,CORREGO DAS UBARANAS,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF RAIMUNDO SILVERIO FILHO,23124741,3,2,0,SITIO CUMBE,S/N,ZONA RURAL,62800000,1,-44886986,-377691729
2023,Ceará,CE,23,Fortim,2304459,ARTUR LIRA EEF,23124903,3,1,0,PRACA JOSE SCIPIAO,641,VICOSA,62815000,1,-66191048,-406098816
2023,Ceará,CE,23,Fortim,2304459,COMUNITARIA DA BARRA EEF,23124920,3,1,0,TRAVESSA ISABEL MONTEIRO,47,BARRA,62815000,1,-44335875,-377876194
2023,Ceará,CE,23,Fortim,2304459,BENVINDA NUNES EEF,23124938,3,2,0,MAMOEIRO,,MAMOEIRO,62817000,2,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,EDSON BARBOSA EEF,23124962,3,1,0,GUAJIRU,SN,GUAJIRU,62815000,1,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,EMILIA QUEIROZ PROFESSORA EEF,23124970,3,1,0,RUA VICENTE SILVANO,246,CENTRO,62819000,1,-44053515,-377845114
2023,Ceará,CE,23,Fortim,2304459,EEFM PROFESSORA MARIA LUIZA,23124997,3,1,0,RUA JOAQUIM CRISOSTOMO,739,CENTRO,62815000,1,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,EEM HELENITA LOPES GURGEL VALENTE,23125012,2,1,0,RUA JORGE FERREIRA,250,CENTRO,62815000,1,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,JOAO ANASTACIO ESC DE ENSINO FUNDAMENTAL,23125020,3,2,0,VOLTA GRANDE,,,62815000,2,-36994947,-38644177
2023,Ceará,CE,23,Fortim,2304459,JOAO CIRIACO EEF,23125039,3,2,0,BARRO VERMELHO,,BARRO VERMELHO,62817000,2,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,JOAO NOBERTO EEF,23125055,3,2,0,MUNDO NOVO,S/N,MUNDO NOVO,62817000,1,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,JOSE ALEXANDRE DE LIMA EEF,23125063,3,2,0,JARDIM,S/N,JARDIM DE BAIXO,62815000,1,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,JULIA DE OLIVEIRA EEF,23125071,3,2,0,TAPUIO,,TAPUIO,62817000,2,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,MARIA PEREIRA EEF,23125128,3,2,0,CARNAUBINHA,,CARNAUBINHA,62817000,2,-54983977,-393206241
2023,Ceará,CE,23,Fortim,2304459,MAURO CAVALCANTE DE SOUZA EEF,23125152,3,2,0,VILA GURGURI,SN,CE 040,62815000,1,-44699914,-377989585
2023,Ceará,CE,23,Icapuí,2305357,ANTONIO CRISPIM CEI,23125209,3,2,0,PRAIA DE PONTA GROSSA,,,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,PROFESSORA JOANA MARQUES BEZERRA EEF,23125217,3,2,0,PRAIA DE BARREIRAS,SN,,62810000,1,-46773083,-374042053
2023,Ceará,CE,23,Icapuí,2305357,PROFESSOR FRANCISCO EZEQUIEL DA COSTA EEF,23125250,3,2,0,NOVA BELEM,SN,,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,PROFESSORA CARLOTA TAVARES DE HOLANDA EEF,23125268,3,1,0,RUA CORONEL RICARDO HOLANDA,SN,,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,FRANCISCA EMILIA MAIA E E F,23125306,3,2,0,BERIMBAU,,,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,EEMTI PROFESSOR GABRIEL EPIFANIO DOS REIS,23125314,2,1,0,RUA FILIZOLINA FREITAS,SN,CAJUAIS,62810000,1,-4701447,-373627597
2023,Ceará,CE,23,Icapuí,2305357,DO GRAVIE CEI,23125322,3,2,0,GRAVIE,,GRAVIE,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,LUIS GONZAGA FERREIRA E E F,23125330,3,2,0,PEIXE GORDO,,,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,PROFESSORA MARIA EDILCE BARBOSA EEF,23125349,3,2,0,RUA JOAQUIM MARQUES,SN,MELANCIAS DE BAIXO,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,MARIA HELENA REBOUCAS MARQUES CEI,23125357,3,1,0,RUA ALDENORA HOLANDA,SN,MANIBU,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,PROFESSORA RAIMUNDA LACERDA DAMIAO EEF,23125381,3,1,0,AVENIDA ESAU LACERDA,2121,MUTAMBA,62810000,1,-53948021,-393621196
2023,Ceará,CE,23,Icapuí,2305357,PROFESSORA MIZINHA EEF,23125403,3,1,0,AVENIDA 22 DE JANEIRO,,MORRO ALTO,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,JOSE ANTERO REBOUCAS CEI,23125411,3,2,0,MORRO PINTADO,SN,MORRO PINTADO,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,A CAMINHO DA CIDADANIA CEI,23125438,3,2,0,PEROBA,,,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,FRANCISCA LUZIA DE JESUS CEI,23125454,3,2,0,PRAIA DE REDONDA,,,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,GUILHERME LOPES DA SILVA CEI PROFESSOR,23125470,3,2,0,RETIRO GRANDE,,,62810000,2,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,ROSA FILOMENA DA COSTA CEI PROFESSORA,23125489,3,2,0,SERRA DE MUTAMBA,,SERRA DE MUTAMBA,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Icapuí,2305357,RAIMUNDA MEDEIROS REBOUCAS CEI,23125497,3,2,0,SERRA DE CAJUAIS,,,62810000,1,-54983977,-393206241
2023,Ceará,CE,23,Itaiçaba,2306207,DOM AURELIANO MATOS EEF,23125500,3,2,0,RUA JERONIMO FRANCISCO DA SILVA,1971,ALTO BRITO,62820000,1,-3493213,-395787377
2023,Ceará,CE,23,Itaiçaba,2306207,DULCINEA GOMES DINIZ EEF,23125551,3,1,0,VILA OLIMPICA,336,SAO FRANCISCO,62820000,1,-54983977,-393206241
2023,Ceará,CE,23,Itaiçaba,2306207,EEMTI JOAO BARBOSA LIMA,23125586,2,1,0,RUA CEL JOAO BATISTA,397,CENTRO,62820000,1,-4679879,-378210431
2023,Ceará,CE,23,Itaiçaba,2306207,MARIA MOREIRA BARBOSA CENTRO DE EDUCACAO INFANTIL,23125616,3,1,0,RUA ALEXANDRE BEZERRA,401,SAO FRANCISCO,62820000,1,-54983977,-393206241
2023,Ceará,CE,23,Itaiçaba,2306207,MARIA VIANA BARBOSA EEF,23125624,3,2,0,BAIXO GIQUI,SN,,62820000,2,-54983977,-393206241
2023,Ceará,CE,23,Itaiçaba,2306207,PE MARCONDES CAVALCANTE EEF,23125632,3,2,0,LOGRADOURO,S/N,ZONA RURAL,62820000,1,-4714909,-373564683
2023,Ceará,CE,23,Itaiçaba,2306207,RAIMUNDO NONATO GOMES DINIZ EEF,23125667,3,2,0,TABULEIRO DO LUNA,SN,,62820000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,ARCINDO DE HOLANDA BESSA EMEF,23125748,3,2,0,SITIO RECREIO,,,62970000,2,-57986483,-383106558
2023,Ceará,CE,23,Alto Santo,2300705,FRANCISCO CHAGAS MARTINS EMEF,23125845,3,2,0,SITIO TABULEIRO DAS MOCAS,,ZONA RURAL,62970000,1,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,FCO FERREIRA DE CARVALHO EMEF,23125896,3,2,0,ASSENTAMENTO LOGRADOURO,SN,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,FCO PRAXEDES MENDES EMEF,23125934,3,2,0,SITIO JUREMAL,SN,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,HONORIO HOLANDA BEZERRA EEF,23125969,3,2,0,SITIO TIBOLO,,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,RAUL AUGUSTO DA SILVA EMEF,23125977,3,2,0,SITIO ARISCO,,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,JOAO BEZERRA DE SOUZA EMEF,23125985,3,2,0,SITIO VILA ORIENTE,SN,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,JOAO QUINCO EMEF,23126000,3,2,0,SITIO ARMADOR,,ZONA RURAL,62970000,2,-55200183,-38272764
2023,Ceará,CE,23,Alto Santo,2300705,JOAO RODRIGUES TORRES EMEF,23126019,3,2,0,SITIO BAIXIO GRANDE,,,62970000,1,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,JOAQUIM DE MOURA MAIA GRUPO ESC,23126027,3,2,0,SITIO FERRAZ,,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,LUIS CANDIDO MACIEL EMEF,23126108,3,2,0,SITIO BATOQUE,,ZONA RURAL,62970000,1,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,MANOEL NOGUEIRA COSTA EMEF,23126167,3,2,0,SITIO BAIXA DA UMBURANA,,,62970000,1,-37435885,-410151659
2023,Ceará,CE,23,Alto Santo,2300705,RDO SEVERIANO CARNEIRO EMEF,23126256,3,2,0,SITIO ANDRE DIAS,S/N,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,URCESINA MOURA CANTIDIO EMEF,23126272,3,1,0,RUA CEL. SIMPLICIO BEZERRA,8,CENTRO,62970000,1,-4808776,-393965817
2023,Ceará,CE,23,Alto Santo,2300705,ANTONIO ADOLFO DA CUNHA EMEF,23126329,3,2,0,SITIO BOQUEIRAO DO CUNHA,,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,JOSE MARTINS DO NASCIMENTO EMEF,23126388,3,2,0,SITIO RECANTO,SN,ZR,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,LIRA MAIA HOLANDA EMEF,23126400,3,1,0,RUA AGAPITO FERREIRA MAIA,S/N,CASTANHAO,62970000,1,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,MARIA DO SOCORRO CABO EMEF,23126426,3,2,0,SITIO BOM JESUS,SN,,62970000,1,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,PEDRO JOSE PEREIRA EMEF,23126450,3,2,0,SITIO CARAUBAS,,,62970000,2,-54983977,-393206241
2023,Ceará,CE,23,Alto Santo,2300705,ESCOLA ENSINO MUNICIPAL FUNDAMENTAL VIRGILIO TAVORA,23126485,3,2,0,SITIO CABRITO,S/N,ZONA RURAL,62970000,1,-36808829,-403406222
2023,Ceará,CE,23,Jaguaruana,2307007,EDITH MOREIRA BARRETO EEF,23127147,3,1,0,RUA CEL. RAIMUNDO FRANCISCO,1389,JUAZEIRO,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,EEMTI FRANCISCO JAGUARIBE,23127171,2,1,0,RUA CEL RAIMUNDO FRANCISCO,1135,LAGOA,62823000,1,-58927263,-386219897
2023,Ceará,CE,23,Jaguaruana,2307007,FRANCISCO JAGUARIBE EEF,23127180,3,1,0,RUA JOSE LEITE DE CARVALHO,SN,CENTRO,62823000,1,-58927263,-386219897
2023,Ceará,CE,23,Jaguaruana,2307007,FRANCISCO VENANCIO DA SILVA E E F,23127198,3,2,0,SITIO CORREGO DO MACHADO,S/N,ZONA RURAL,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,GERARDO CORREIA LIMA EEF,23127201,3,1,0,AV. CORONEL ANTONIO JOSE DE FREITAS,1478,CENTRO,62823000,1,-48173628,-377808737
2023,Ceará,CE,23,Jaguaruana,2307007,JOAQUIM VENANCIO EEF,23127287,3,2,0,SITIO FIGUEIREDO,S/N,ZONA RURAL,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,JOSE CARNEIRO DO NASCIMENTO CEI,23127309,3,1,0,TRAVESSA ANTONIO GERARDO FILHO,1140,TABULEIRO,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,JOSE SIMOES FILHO EEF DR,23127368,3,2,0,AV. LUIZ EUDIBERTO DE CARVALHO,S/N,ZONA RURAL,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,NOSSA SRA DO LIVRAMENTO EEF,23127384,3,2,1,ASSENTAMENTO BELA VISTA,SN,ZONA RURAL,62823000,1,-49925044,-39979904
2023,Ceará,CE,23,Jaguaruana,2307007,EEM MANUEL SATIRO,23127430,2,1,0,AV ANTONIO DA ROCHA FREITAS,1278,CENTRO,62823000,1,-37939055,-385782644
2023,Ceará,CE,23,Jaguaruana,2307007,CEI MENINO JESUS,23127457,3,1,0,RUA CHICO NOGUEIRA,1243,LAGOA,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,PEDRO JOAQUIM DOS SANTOS UEI,23127465,3,2,0,SITIO PASTA BRANCA,SN,SITIO PASTA BRANCA,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,PERPETUO SOCORRO EEF N SRA DO,23127481,3,1,0,RUA GERARDO PEREIRA DE MELO,SN,JUAZEIRO,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,RAIMUNDO FARIAS E E F,23127503,3,2,0,SITIO CURRALINHO/PATOS,SN,SITIO CURRALINHO / PATOS,62823000,1,-48190496,-37860554
2023,Ceará,CE,23,Jaguaruana,2307007,RAIMUNDO SALES FACANHA EEF,23127520,3,2,0,SITIO SARGENTO,S/N,ZONA RURAL,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,ROSA COELHO DE MELO E E F,23127538,3,1,0,AVENIDA JOSE CLAUDIO DE MELO,S/N,COHAB,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,TOMAZ BARBOSA EEF,23127589,3,1,0,AV. JOSE DE ALMEIDA,S/N,CARDEAIS,62823000,1,-54983977,-393206241
2023,Ceará,CE,23,Jaguaruana,2307007,JOAO RODRIGUES MAIA EEF,23127708,3,1,0,RUA JOAQUIM QUINTINO,S/N,ZONA RURAL,62823000,1,-4788823,-377497678
2023,Ceará,CE,23,Limoeiro do Norte,2307601,ACELINO VIANA ARRAIS E E F,23127732,3,2,0,SITIO SOCORRO,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MINISTRO ALLYSSON PAULINELLI E E B,23127740,3,1,0,RUA MARIA JOSE CHAVES DE ALMEIDA,2521,ANTONIO HOLANDA DE OLIVEIRA,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,ANTONIO DE CASTRO PEREIRA E E I F,23127775,3,2,0,SITIO CORREGO DE AREIA,S/Nº,ZONA RURAL,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,ANTONIO ALONSO DE OLIVEIRA EEF,23127805,3,2,0,GENIPAPEIRO,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,ARI SANTIAGO ESC 1O GRAU,23127813,3,2,0,SITIO MILAGRE,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,EEMTI ARSENIO FERREIRA MAIA,23127821,2,1,0,RUA CORONEL JOSE NUNES,1245,JOAO XXIII,62930000,1,-51537633,-380940244
2023,Ceará,CE,23,Limoeiro do Norte,2307601,CESAR CALS NETO E E I F,23127856,3,2,0,SITIO SUCUPIRA,S/N,ZONA RURAL,62930000,1,-3907966,-386214974
2023,Ceará,CE,23,Limoeiro do Norte,2307601,FCO DE SALES BANDEIRA E E F,23127945,3,2,0,SITIO PEDRA BRANCA,,,62930000,2,-51410237,-380861729
2023,Ceará,CE,23,Limoeiro do Norte,2307601,FRANCISCO JACY LUZ ESC EIF,23127953,3,1,0,RUA ANTONIO RIBEIRO DE CASTRO,S/N,BOM NOME,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOAO ADOLFO DE A MAIA E E F,23128003,3,2,0,SITIO MARIA DIAS,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOAO BATISTA RIBEIRO E E I F,23128011,3,2,0,SITIO TOME,S/N,ZONA RURAL,62930000,1,-51206737,-379666317
2023,Ceará,CE,23,Limoeiro do Norte,2307601,E E I F JOAQUIM DINO GADELHA,23128070,3,2,0,SITIO CABECA PRETA,SN,CABECA PRETA,62930000,1,-65024062,-393099936
2023,Ceará,CE,23,Limoeiro do Norte,2307601,PE JOAQUIM DE MENESES EEF,23128089,3,1,0,AVENIDA DOM AURELIANO MATOS,1853,CENTRO,62930000,1,-5145529,-380973466
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOSE ALVES DE MOURA E E F,23128119,3,2,0,SITIO ARRAIAL,S/N,ZONA RURAL,62930000,1,-50952148,-380742594
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOSE CANDIDO DA COSTA E E F,23128143,3,2,0,SITIO VARZEA DO COBRA,SN,ZONA RURAL,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOSE HAMILTON DE OLIVEIRA EEF,23128178,3,1,0,RUA RAIMUNDO CRAVEIRO,S/N,LUIS ALVES DE FREITAS,62930000,1,-51345425,-380958335
2023,Ceará,CE,23,Limoeiro do Norte,2307601,EEM LAURO REBOUCAS DE OLIVEIRA,23128208,2,1,0,AV DOS EXPEDICIONARIOS,2921,CENTRO,62930000,1,-51421648,-380959593
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MARIA ARIDINA VIDAL DE ANDRADE E E I F,23128259,3,1,0,AV. MANOEL FIDELIS MAIA,1897,ANTONIO HOLANDA DE OLIVEIRA,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MA AUGUSTA DE ARAUJO E E F,23128267,3,2,0,SITIO FACEIRA,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MA ELVANISA MOURA FREITAS SILVA E E F,23128291,3,1,0,RUA RAIMUNDO NONATO DA SILVA,S/N,ANTONIO HOLANDA DE OLIVEIRA,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MARIA IDALINA DE FREITAS ESC E E F,23128313,3,1,0,RUA ESTEVAO REMIGIO DE FREITAS,3029,BOA FE,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MANOEL DE CASTRO E E I F,23128330,3,2,0,KM 60,S/N,ZONA RURAL,62930000,1,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,MIGUEL VIEIRA DE MELO E E F,23128364,3,2,0,INGARANA,,,62930000,2,-54983977,-393206241
2023,Ceará,CE,23,Limoeiro do Norte,2307601,JOAO LUIS MAIA EEF,23128399,3,2,0,SITIO ESPINHO,SN,ZONA RURAL,62930000,1,-54983977,-393206241
